ka_full,category,system_number,system_name,ka_no,statement,ro_imp,sro_imp,status
057 AA2.16,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.16,DELETED,0,0,deleted
057 AA2.18,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.18,(057AA2.18) Ability to determine and/or interpret the following as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR:  43.5 / 45.13): System and component status using local or remote controls,3.5,3.5,active
057 AA2.19,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.19,DELETED,0,0,deleted
057 AA2.20,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.20,(057AA2.20) Ability to determine and/or interpret the following as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR:  43.5 / 45.13): The plant automatic actions that will occur on the loss of a vital AC electrical instrument bus,3.4,4,active
057 AA2.21,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.21,(057AA2.21) Ability to determine and/or interpret the following as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR:  43.5 / 45.13): RWST level,3.1,3.4,active
057 AA2.22,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AA2.22,(057AA2.22) Ability to determine and/or interpret the following as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR:  43.5 / 45.13): RCS pressure,4,3.8,active
057 AK1.01,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK1.01,(057AK1.01) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR: 41.8 / 41.10 / 45.3): Effect of a loss of power to instruments powered by a vital instrument bus on pla,4.3,4.3,active
057 AK2.01,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.01,DELETED,0,0,deleted
057 AK2.02,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.02,DELETED,0,0,deleted
057 AK2.03,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.03,DELETED,0,0,deleted
057 AK2.04,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.04,DELETED,0,0,deleted
057 AK2.05,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.05,DELETED,0,0,deleted
057 AK2.06,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.06,(057AK2.06) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): RCS instrumentation,4,4,active
057 AK2.07,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.07,(057AK2.07) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): Secondary system instrumentation,3.3,3.3,active
057 AK2.08,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.08,(057AK2.08) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): NI,4.1,4.1,active
057 AK2.09,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.09,(057AK2.09) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): RPS,4.4,4.4,active
057 AK2.10,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.10,(057AK2.10) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): ESFAS,4.4,4.4,active
057 AK2.11,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK2.11,(057AK2.11) Knowledge of the relationship between (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS and the following systems or components (CFR: 41.7 / 45.7): CVCS instrumentation,3.6,3.6,active
057 AK3.01,ape,057,(APE 57) Loss of Vital AC Instrument Bus,AK3.01,(057AK3.01) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 57) LOSS OF VITAL AC ELECTRICALINSTRUMENT BUS (CFR: 41.5 / 41.10 / 45.6 / 45.13): Actions contained in AOPs for the loss of a vital AC electrical instrument bus,4.1,4.1,active
058 AA1.01,ape,058,(APE 58) Loss of DC Power,AA1.01,(058AA1.01) Ability to operate and/or monitor the following as they apply to (APE 58) LOSS OF DC Power (CFR: 41.7 / 45.5 / 45.6): Alternate supply,3.6,3.6,active
058 AA1.02,ape,058,(APE 58) Loss of DC Power,AA1.02,DELETED,0,0,deleted
058 AA1.03,ape,058,(APE 58) Loss of DC Power,AA1.03,(058AA1.03) Ability to operate and/or monitor the following as they apply to (APE 58) LOSS OF DC Power (CFR: 41.7 / 45.5 / 45.6): Vital bus and battery bus components,3.8,3.8,active
058 AA1.04,ape,058,(APE 58) Loss of DC Power,AA1.04,(058AA1.04) Ability to operate and/or monitor the following as they apply to (APE 58) LOSS OF DC Power (CFR: 41.7 / 45.5 / 45.6): AC distribution system breakers,3.6,3.6,active
058 AA1.05,ape,058,(APE 58) Loss of DC Power,AA1.05,(058AA1.05) Ability to operate and/or monitor the following as they apply to (APE 58) LOSS OF DC Power (CFR: 41.7 / 45.5 / 45.6): Valves or components affected by loss of DC,3.9,3.9,active
058 AA1.06,ape,058,(APE 58) Loss of DC Power,AA1.06,(058AA1.06) Ability to operate and/or monitor the following as they apply to (APE 58) LOSS OF DC Power (CFR: 41.7 / 45.5 / 45.6): DC distribution system,3.7,3.7,active
058 AA2.01,ape,058,(APE 58) Loss of DC Power,AA2.01,(058AA2.01) Ability to determine and/or interpret the following as they apply to (APE 58) LOSS OF DC Power (CFR: 43.5 / 45.13): Verification that alternate power sources have come on line,3.4,3.7,active
058 AA2.02,ape,058,(APE 58) Loss of DC Power,AA2.02,(058AA2.02) Ability to determine and/or interpret the following as they apply to (APE 58) LOSS OF DC Power (CFR: 43.5 / 45.13): 125‑V DC bus voltage,3.6,3.8,active
058 AA2.03,ape,058,(APE 58) Loss of DC Power,AA2.03,(058AA2.03) Ability to determine and/or interpret the following as they apply to (APE 58) LOSS OF DC Power (CFR: 43.5 / 45.13): Impact on ability to operate and monitor plant systems,4,4,active
058 AK1.01,ape,058,(APE 58) Loss of DC Power,AK1.01,DELETED,0,0,deleted
058 AK1.02,ape,058,(APE 58) Loss of DC Power,AK1.02,DELETED,0,0,deleted
058 AK1.03,ape,058,(APE 58) Loss of DC Power,AK1.03,(058AK1.03) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 58) LOSS OF DC Power (CFR: 41.8 / 41.10 / 45.3 ): Effect of battery discharge rate on capacity,3.7,3.7,active
058 AK1.04,ape,058,(APE 58) Loss of DC Power,AK1.04,(058AK1.04) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 58) LOSS OF DC Power (CFR: 41.8 / 41.10 / 45.3 ): Loss of breaker protection,3.7,3.7,active
058 AK1.05,ape,058,(APE 58) Loss of DC Power,AK1.05,(058AK1.05) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 58) LOSS OF DC Power (CFR: 41.8 / 41.10 / 45.3 ): Prevention of inadvertent system(s) actuation upon restoration of DC power,3.6,3.6,active
058 AK1.06,ape,058,(APE 58) Loss of DC Power,AK1.06,(058AK1.06) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 58) LOSS OF DC Power (CFR: 41.8 / 41.10 / 45.3 ): Loss of remote or automatic operation,3.7,3.7,active
058 AK2.01,ape,058,(APE 58) Loss of DC Power,AK2.01,DELETED,0,0,deleted
058 AK2.02,ape,058,(APE 58) Loss of DC Power,AK2.02,DELETED,0,0,deleted
058 AK2.03,ape,058,(APE 58) Loss of DC Power,AK2.03,(058AK2.03) Knowledge of the relationship between (APE 58) LOSS OF DC Power and the following systems or components (CFR: 41.7 / 45.7): Battery,3.7,3.7,active
058 AK2.04,ape,058,(APE 58) Loss of DC Power,AK2.04,(058AK2.04) Knowledge of the relationship between (APE 58) LOSS OF DC Power and the following systems or components (CFR: 41.7 / 45.7): Battery charger,3.6,3.6,active
058 AK2.05,ape,058,(APE 58) Loss of DC Power,AK2.05,(058AK2.05) Knowledge of the relationship between (APE 58) LOSS OF DC Power and the following systems or components (CFR: 41.7 / 45.7): AC distribution system,3.6,3.6,active
058 AK2.06,ape,058,(APE 58) Loss of DC Power,AK2.06,(058AK2.06) Knowledge of the relationship between (APE 58) LOSS OF DC Power and the following systems or components (CFR: 41.7 / 45.7): EDGs,4.1,4.1,active
058 AK2.07,ape,058,(APE 58) Loss of DC Power,AK2.07,(058AK2.07) Knowledge of the relationship between (APE 58) LOSS OF DC Power and the following systems or components (CFR: 41.7 / 45.7): AFW,3.8,3.8,active
058 AK3.01,ape,058,(APE 58) Loss of DC Power,AK3.01,(058AK3.01) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 58) LOSS OF DC Power (CFR: 41.5 / 41.10 / 45.6 / 45.13): Operation of the EDGs,4,4,active
058 AK3.02,ape,058,(APE 58) Loss of DC Power,AK3.02,(058AK3.02) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 58) LOSS OF DC Power (CFR: 41.5 / 41.10 / 45.6 / 45.13): Actions contained in AOPs or EOPs for loss of DC power,4.1,4.1,active
059 AA1.01,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.01,(059AA1.01) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): PRMS,3.5,3.5,active
059 AA1.02,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.02,(059AA1.02) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): ARM system,3.3,3.3,active
059 AA1.03,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.03,(059AA1.03) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): Flow rate controller,3,3,active
059 AA1.04,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.04,(059AA1.04) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): CWS,3,3,active
059 AA1.05,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.05,(059AA1.05) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): S/GB,2.9,2.9,active
059 AA1.06,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA1.06,(059AA1.06) Ability to operate and/or monitor the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.7 / 45.5 / 45.6): LRS,3.1,3.1,active
059 AA2.01,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.01,DELETED,0,0,deleted
059 AA2.02,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.02,(059AA2.02) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): The permit for liquid radwaste release,3.6,3.6,active
059 AA2.03,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.03,"(059AA2.03) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): Failure modes, symptoms, and/or indications of a radioactive-liquid monitor failure",3.2,3.3,active
059 AA2.04,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.04,(059AA2.04) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): The valve lineup for a release of radioactive liquid,3.6,3.4,active
059 AA2.05,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.05,(059AA2.05) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): The occurrence of automatic safety actions as a result of a high-radiation signal,3.6,3.9,active
059 AA2.06,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.06,(059AA2.06) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): Verification that the flow rate of the liquid being released is less than or equal to that specified on the release permit,3,3.6,active
059 AA2.07,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.07,(059AA2.07) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): Radiation levels in the effluent,2.6,3.3,active
059 AA2.08,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.08,(059AA2.08) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): Dilution flow rate in the effluent stream,2.8,3.2,active
059 AA2.09,ape,059,(APE 59) Accidental Liquid Radwaste Release,AA2.09,(059AA2.09) Ability to determine and/or interpret the following as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 43.5 / 45.13): Implement TS and/or TRM actions (whatever is applicable) for an inoperable radioactive‑liquid monitor,3.8,3.8,active
059 AK1.01,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.01,DELETED,0,0,deleted
059 AK1.02,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.02,DELETED,0,0,deleted
059 AK1.03,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.03,DELETED,0,0,deleted
059 AK1.04,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.04,(059AK1.04) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.8 / 41.10 / 45.3): The relationship between background radiation intensity and the alarm setpoints on a rad,3,3,active
059 AK1.05,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.05,(059AK1.05) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.8 / 41.10 / 45.3): The calculation of offsite doses due to a release from the power plant,3,3,active
059 AK1.06,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK1.06,(059AK1.06) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.8 / 41.10 / 45.3): Loss of the CWS during discharge,3.2,3.2,active
059 AK2.01,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.01,(059AK2.01) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): PRMS,3.5,3.5,active
059 AK2.02,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.02,DELETED,0,0,deleted
059 AK2.03,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.03,(059AK2.03) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): Liquid radwaste release isolation and/or flow control valves,3.6,3.6,active
059 AK2.04,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.04,(059AK2.04) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): Liquid radwaste flow instruments,3.2,3.2,active
059 AK2.05,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.05,(059AK2.05) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): S/GB,2.8,2.8,active
059 AK2.06,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.06,(059AK2.06) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): LRS,3.1,3.1,active
059 AK2.07,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK2.07,(059AK2.07) Knowledge of the relationship between (APE 59) ACCIDENTAL LIQUID Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): CWS,2.9,2.9,active
059 AK3.01,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK3.01,(059AK3.01) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Termination of a release of radioactive liquid,3.7,3.7,active
059 AK3.02,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK3.02,(059AK3.02) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Implementation of emergency plan,3.9,3.9,active
059 AK3.03,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK3.03,DELETED,0,0,deleted
059 AK3.04,ape,059,(APE 59) Accidental Liquid Radwaste Release,AK3.04,(059AK3.04) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 59) ACCIDENTAL LIQUID Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Guidance contained in procedures,3.6,3.6,active
060 AA1.01,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA1.01,(060AA1.01) Ability to operate and/or monitor the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.7 / 45.5 / 45.6): PRMS,3.4,3.4,active
060 AA1.02,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA1.02,(060AA1.02) Ability to operate and/or monitor the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.7 / 45.5 / 45.6): PVS,3.5,3.5,active
060 AA1.03,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA1.03,(060AA1.03) Ability to operate and/or monitor the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.7 / 45.5 / 45.6): Flow rate controller/indication,3.2,3.2,active
060 AA1.04,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA1.04,(060AA1.04) Ability to operate and/or monitor the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.7 / 45.5 / 45.6): Gaseous radwaste release isolation valve,3.7,3.7,active
060 AA2.01,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.01,"(060AA2.01) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): A radiation-level alarm indicating whether the cause was due to a gradual (in time) signal increase or due to a sudden increase (a “spike”), inclu",3.3,3.4,active
060 AA2.02,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.02,(060AA2.02) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): Detection of the possible location of a radioactive gas leak and/or the effect of isolating that leak,3.2,3.4,active
060 AA2.03,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.03,(060AA2.03) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): The steps necessary to isolate a given radioactive-gas leak using piping and instrumentation diagrams,3.6,3.4,active
060 AA2.04,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.04,DELETED,0,0,deleted
060 AA2.05,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.05,(060AA2.05) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): The occurrence of automatic safety actions as a result of a high-radiation signal,3.8,3.8,active
060 AA2.06,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.06,(060AA2.06) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): Valve lineup for release of radioactive gases,3.2,3.3,active
060 AA2.07,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.07,"(060AA2.07) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): Failure modes, symptoms, and/or indications of a radioactive gaseous monitor failure",3.4,3.2,active
060 AA2.08,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AA2.08,(060AA2.08) Ability to determine and/or interpret the following as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 43.5 / 45.13): TS and/or TRM actions for accidental release (as applicable),2.8,3.8,active
060 AK1.01,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK1.01,DELETED,0,0,deleted
060 AK1.02,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK1.02,DELETED,0,0,deleted
060 AK1.03,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK1.03,DELETED,0,0,deleted
060 AK1.04,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK1.04,(060AK1.04) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.8 / 41.10 / 45.3): Calculation of offsite doses due to a release from the power plant,2.8,2.8,active
060 AK2.01,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.01,DELETED,0,0,deleted
060 AK2.02,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.02,(060AK2.02) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): PVS,3.5,3.5,active
060 AK2.03,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.03,(060AK2.03) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): Gaseous radwaste release isolation and/or flow control valves,3.6,3.6,active
060 AK2.04,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.04,(060AK2.04) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): Gaseous radwaste flow instruments,3.2,3.2,active
060 AK2.05,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.05,(060AK2.05) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): PRMS,3.4,3.4,active
060 AK2.06,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.06,(060AK2.06) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): Radwaste gas system,3.3,3.3,active
060 AK2.07,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK2.07,(060AK2.07) Knowledge of the relationship between (APE 60) ACCIDENTAL GASEOUS Radwaste Release and the following systems or components (CFR: 41.7 / 45.7): CVCS,2.8,2.8,active
060 AK3.01,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.01,(060AK3.01) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Implementation of emergency plan,3.9,3.9,active
060 AK3.02,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.02,(060AK3.02) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Isolation of the PVS,3.6,3.6,active
060 AK3.03,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.03,(060AK3.03) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Guidance contained in procedures for accidental gaseous radwaste release,3.6,3.6,active
060 AK3.04,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.04,(060AK3.04) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Startup of the gas treatment system,2.9,2.9,active
060 AK3.05,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.05,(060AK3.05) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Termination of a release of radioactive gas,3.8,3.8,active
060 AK3.06,ape,060,(APE 60) Accidental Gaseous Radwaste Release,AK3.06,(060AK3.06) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 60) ACCIDENTAL GASEOUS Radwaste Release (CFR: 41.5 / 41.10 / 45.6 / 45.13): Implement emergency plan for accidental gaseous radwaste release,3.8,3.8,active
061 AA1.01,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.01,(061AA1.01) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): Systems or components automatically actuated by ARM signals,3.5,3.5,active
061 AA1.02,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.02,(061AA1.02) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): Control room radiation monitoring displays,3.3,3.3,active
061 AA1.03,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.03,(061AA1.03) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): Local radiation monitoring units,2.9,2.9,active
061 AA1.04,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.04,(061AA1.04) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): RCS,3.2,3.2,active
061 AA1.05,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.05,(061AA1.05) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): CVCS,3.2,3.2,active
061 AA1.06,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.06,(061AA1.06) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): RHR,3.1,3.1,active
061 AA1.07,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.07,(061AA1.07) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): SFPCS,3.2,3.2,active
061 AA1.08,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA1.08,(061AA1.08) Ability to operate and/or monitor the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 41.7 / 45.5 / 45.6): Refueling pool,3.4,3.4,active
061 AA2.01,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA2.01,DELETED,0,0,deleted
061 AA2.02,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA2.02,(061AA2.02) Ability to determine and/or interpret the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 43.5 / 45.13): Normal operating characteristics,3,3.1,active
061 AA2.03,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA2.03,(061AA2.03) Ability to determine and/or interpret the following as they apply to (APE 61) AREA RADIATION MONITORING (ARM) System Alarms (CFR: 43.5 / 45.13): Alarm conditions,3.2,3.4,active
061 AA2.04,ape,061,(APE 61) Area Radiation Monitoring System Alarms,AA2.04,DELETED,0,0,deleted
